id	original_sentence	entities	paraphrase
0	"Identification of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor ."	adenomatous polyposis coli tumour	"APC2 , a homologue of the adenomatous polyposis coli tumour suppressor , was identified ."
0	"Identification of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor ."	adenomatous polyposis coli tumour	"The study identified APC2 , which is homologous to the adenomatous polyposis coli tumour suppressor ."
0	"Identification of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor ."	adenomatous polyposis coli tumour	"Researchers reported the identification of APC2 , structurally related to the adenomatous polyposis coli tumour suppressor ."
0	"Identification of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor ."	adenomatous polyposis coli tumour	"APC2 , a protein homologous to the adenomatous polyposis coli tumour suppressor , has been identified ."
0	"Identification of APC2 , a homologue of the adenomatous polyposis coli tumour suppressor ."	adenomatous polyposis coli tumour	The identification of APC2 revealed its homology to the adenomatous polyposis coli tumour suppressor .
1	"The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin ."	adenomatous polyposis coli ( APC ) tumour	"The adenomatous polyposis coli ( APC ) tumour suppressor regulates Wnt signalling through complex formation with GSK - 3beta , axin / conductin and betacatenin ."
1	"The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin ."	adenomatous polyposis coli ( APC ) tumour	"The adenomatous polyposis coli ( APC ) tumour suppressor modulates Wnt signalling by assembling a complex containing GSK - 3beta , axin / conductin and betacatenin ."
1	"The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin ."	adenomatous polyposis coli ( APC ) tumour	"Through its association with GSK - 3beta , axin / conductin and betacatenin , the adenomatous polyposis coli ( APC ) tumour suppressor influences Wnt pathway activity ."
1	"The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin ."	adenomatous polyposis coli ( APC ) tumour	"Complex formation with GSK - 3beta , axin / conductin and betacatenin enables the adenomatous polyposis coli ( APC ) tumour suppressor to regulate the Wnt pathway ."
1	"The adenomatous polyposis coli ( APC ) tumour - suppressor protein controls the Wnt signalling pathway by forming a complex with glycogen synthase kinase 3beta ( GSK - 3beta ) , axin / conductin and betacatenin ."	adenomatous polyposis coli ( APC ) tumour	"The Wnt signalling cascade is governed by the adenomatous polyposis coli ( APC ) tumour suppressor through its interactions with GSK - 3beta , axin / conductin and betacatenin ."
